obs_type,obs_mode,observer_type,obs_note_code,site_code,program_code,catalog_code,sub_frame,date_min,date_max,sigma,comment
OPTICAL,CCD,*,*,568,*,USNOB1,*,*,*,0.50,Vereš et al. (2017) Table 4: 568/USNO-B1.0 and USNO-B2.0 (USNO-B2.0 is not in the catalog list of IAU ADES)
OPTICAL,CCD,*,*,568,*,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.10,Vereš et al. (2017) Table 4: 568/Gaia
OPTICAL,CCD,*,*,568,*,PPMXL,*,*,*,0.20,Vereš et al. (2017) Table 4: 568/PPMXL
OPTICAL,CCD,*,*,T09,*,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.10,Vereš et al. (2017) Table 4: T09/Gaia
OPTICAL,CCD,*,*,T12,*,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.10,Vereš et al. (2017) Table 4: T12/Gaia
OPTICAL,CCD,*,*,T14,*,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.10,Vereš et al. (2017) Table 4: T14/Gaia
OPTICAL,CCD,*,*,309,00|0l,UCAC4|PPMXL,*,*,*,0.30,Vereš et al. (2017) Table 4: 309/UCAC-4 and PPMXL
OPTICAL,CCD,*,*,309,00|0l,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.20,Vereš et al. (2017) Table 4: 309/Gaia

OPTICAL,CCD,*,*,F52,*,*,*,*,*,0.20,Station rule: F52 default
OPTICAL,CCD,*,*,F51,15,*,*,*,*,1.00,Station rule: F51 packed program Z
OPTICAL,CCD,*,*,F52,15,*,*,*,*,1.00,Station rule: F52 packed program Z
OPTICAL,CCD,*,*,G96,15,*,*,*,*,1.00,Station rule: G96 packed program Z
OPTICAL,CCD,*,*,703,15,*,*,*,*,1.00,Station rule: 703 packed program Z
OPTICAL,CCD,*,*,291,*,*,*,*,2003-01-01,0.60,Station rule: 291 before 2003
OPTICAL,CCD,*,*,291,*,*,*,2003-01-01,*,0.50,Station rule: 291 from 2003
OPTICAL,CCD,*,*,T05,*,*,*,*,*,0.80,Station rule: T05
OPTICAL,CCD,*,*,T07,*,*,*,*,*,0.80,Station rule: T07
OPTICAL,CCD,*,*,T08,*,*,*,*,*,0.80,Station rule: T08
OPTICAL,CCD,*,*,M22,*,*,*,*,*,0.80,Station rule: M22
OPTICAL,CCD,*,*,W68,*,*,*,*,*,0.80,Station rule: W68

OPTICAL,CCD,*,*,568,*,*,*,*,*,0.50,Station rule: 568 default
OPTICAL,CCD,*,*,568,0T,UCAC4|PPMXL,*,*,*,0.25,Station rule: 568 packed program underscore UCAC4 or PPMXL
OPTICAL,CCD,*,*,568,0T,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.15,Station rule: 568 packed program underscore Gaia
OPTICAL,CCD,*,*,568,0S,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.20,Station rule: 568 packed program caret Gaia
OPTICAL,CCD,*,*,568,02,USNOB1|USNOB2,*,*,*,0.50,Station rule: 568 packed program 2 USNO-B
OPTICAL,CCD,*,*,568,02,PPMXL,*,*,*,0.20,Station rule: 568 packed program 2 PPMXL
OPTICAL,CCD,*,*,568,02,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.10,Station rule: 568 packed program 2 Gaia
OPTICAL,CCD,*,*,568,00,*,*,*,*,1.00,Station rule: 568 packed program 0

OPTICAL,CCD,*,*,T09,*,*,*,*,*,0.50,Station rule: T09 default
OPTICAL,CCD,*,*,T09,00,*,*,*,*,0.10,Station rule: T09 packed program 0
OPTICAL,CCD,*,*,T09,01|04,*,*,*,*,1.00,Station rule: T09 packed programs 1 and 4
OPTICAL,CCD,*,*,T09,02|03,*,*,*,*,0.50,Station rule: T09 packed programs 2 and 3
OPTICAL,CCD,*,*,T09,*,*,*,*,2022-10-06,0.10,Station rule: T09 before 2022-10-06
OPTICAL,CCD,*,*,T10,*,*,*,*,*,0.50,Station rule: T10
OPTICAL,CCD,*,*,T11,*,*,*,*,*,0.50,Station rule: T11
OPTICAL,CCD,*,*,T13,*,*,*,*,*,0.50,Station rule: T13
OPTICAL,CCD,*,*,T16,*,*,*,*,*,0.50,Station rule: T16
OPTICAL,CCD,*,*,T17,*,*,*,*,*,0.50,Station rule: T17
OPTICAL,CCD,*,*,T12,*,*,*,*,*,0.50,Station rule: T12 default
OPTICAL,CCD,*,*,T12,00,*,*,*,*,0.10,Station rule: T12 packed program 0
OPTICAL,CCD,*,*,T12,01,*,*,*,*,0.20,Station rule: T12 packed program 1
OPTICAL,CCD,*,*,T12,02|03,*,*,*,*,0.50,Station rule: T12 packed programs 2 and 3
OPTICAL,CCD,*,*,T12,*,*,*,*,2022-10-06,0.10,Station rule: T12 before 2022-10-06
OPTICAL,CCD,*,*,T14,*,*,*,*,*,0.50,Station rule: T14 default
OPTICAL,CCD,*,*,T14,00|07,*,*,*,*,0.10,Station rule: T14 packed programs 0 and 7
OPTICAL,CCD,*,*,T14,01|02|04|06|08,*,*,*,*,0.50,Station rule: T14 packed programs 1 2 4 6 and 8
OPTICAL,CCD,*,*,T14,03,*,*,*,*,0.20,Station rule: T14 packed program 3
OPTICAL,CCD,*,*,T14,05,*,*,*,*,1.00,Station rule: T14 packed program 5
OPTICAL,CCD,*,*,T14,*,*,*,*,2022-10-06,0.10,Station rule: T14 before 2022-10-06
OPTICAL,CCD,*,*,T15,*,*,*,*,*,0.50,Station rule: T15 default
OPTICAL,CCD,*,*,T15,02,*,*,*,*,1.00,Station rule: T15 packed program 2

OPTICAL,CCD,*,*,H01,*,*,*,*,*,1.00,Station rule: H01 default
OPTICAL,CCD,*,*,H01,*,2MASS|PPMXL|Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.30,Station rule: H01 selected catalogs
OPTICAL,CCD,*,*,673,*,*,*,*,*,1.00,Station rule: 673 default
OPTICAL,CCD,*,*,673,01,*,*,*,*,0.30,Station rule: 673 packed program 1
